Message,ADMIN,05/25/2026 14:09:45 PM,PM3,DoMotionInitialize - Table Rotate And Updown Home.
User,ADMIN,05/25/2026 14:09:55 PM,GUI,[Recipe Editor] Select Recipe of PM3
User,ADMIN,05/25/2026 14:10:10 PM,GUI,[Main Screen] Enter Process screen
User,ADMIN,05/25/2026 14:10:12 PM,GUI,[Main Screen] Enter Log viewer screen
User,ADMIN,05/25/2026 14:10:17 PM,GUI,[Main Screen] Enter Process screen
User,ADMIN,05/25/2026 14:10:39 PM,GUI,[Main Screen] Enter Process screen
User,ADMIN,05/25/2026 14:10:43 PM,GUI,[Maintenance] Clear All Alarm Message
User,ADMIN,05/25/2026 14:10:46 PM,DeviceNet,[Main Screen] Alarm Light On
Alarm,ADMIN,05/25/2026 14:10:46 PM,PM3,Table Rotate Is Not Moving.  #150 
User,ADMIN,05/25/2026 14:10:48 PM,GUI,[Main Screen] Enter Process screen
User,ADMIN,05/25/2026 14:10:53 PM,DeviceNet,[Main Screen] Alarm Light Off
User,ADMIN,05/25/2026 14:10:53 PM,GUI,[Maintenance] Clear All Alarm Message
Message,ADMIN,05/25/2026 14:13:07 PM,PM3,DoMotionInitialize - Lift Down.
Message,ADMIN,05/25/2026 14:13:07 PM,PM3,DoMotionInitialize - Wait for Substrate Lift Down. Timeout 150s
Message,ADMIN,05/25/2026 14:13:09 PM,PM3,DoMotionInitialize - Table Rotate And Updown Home.
Message,ADMIN,05/25/2026 14:13:24 PM,PM3,DoMotionInitialize - Wait for Substrate Table Home. Timeout 181s
Message,ADMIN,05/25/2026 14:13:28 PM,PM3,DoMotionInitialize - Completed.
User,ADMIN,05/25/2026 14:13:40 PM,GUI,[Maintenance] Clear All Alarm Message
User,ADMIN,05/25/2026 14:13:42 PM,GUI,[Main Screen] Enter Process screen
User,ADMIN,05/25/2026 14:13:47 PM,LLA,[Main Screen] Loading Loadlock.
User,ADMIN,05/25/2026 14:13:47 PM,GUI,[LogLoad]- Load check Door 2On
User,ADMIN,05/25/2026 14:13:47 PM,GUI,[LogLoad]- MapWaferSuccess False
